chunk_id,doc_id,filename,chunk_index,strategy,chunk_size_tokens,word_count,text
text1_semantic_0000,text1,text1.md,0,semantic,28,16,"Thursday, January 22, 2026, 9:10 AM

A tentative take, on both the rights and the remedies."
text1_semantic_0001,text1,text1.md,1,semantic,17,10,Editor's note: This article was cross-posted on The Volokh Conspiracy.
text1_semantic_0002,text1,text1.md,2,semantic,60,52,"The Associated Press reports:

WASHINGTON (AP) - Federal immigration officers are asserting sweeping power to forcibly enter people's homes without a judge's warrant, according to an internal Immigration and Customs Enforcement memo obtained by The Associated Press, marking a sharp reversal of longstanding guidance meant to respect constitutional limits on government searches."
text1_semantic_0003,text1,text1.md,3,semantic,53,48,"The memo authorizes ICE officers to use force to enter a residence based solely on a more narrow administrative warrant to arrest someone with a final order of removal, a move that advocates say collides with Fourth Amendment protections and upends years of advice given to immigrant communities."
text1_semantic_0004,text1,text1.md,4,semantic,5,4,The memo is here.
text1_semantic_0005,text1,text1.md,5,semantic,26,21,"The specific subject is what are known as Form I-205 Warrants, which are signed by immigration officials and not regular judges."
text1_semantic_0006,text1,text1.md,6,semantic,48,40,"As I read the memo, DHS's position is that they authorize ICE to enter homes based on Form I205 orders everywhere except in the Central District of California-with that exception due to a 2024 ruling in that district, Kidd v."
text1_semantic_0007,text1,text1.md,7,semantic,4,1,Mayorkas.
text1_semantic_0008,text1,text1.md,8,semantic,13,10,"Unfortunately, however, the memo does not include any legal analysis."
text1_semantic_0009,text1,text1.md,9,semantic,20,18,This raises a big question: Can ICE enter a home to make an arrest without a judicial warrant?
text1_semantic_0010,text1,text1.md,10,semantic,38,33,"The standard view has been that administrative warrants can't authorize home entry because they're executive branch orders, and the executive branch can't be in charge of deciding whether to give itself a warrant."
text1_semantic_0011,text1,text1.md,11,semantic,5,3,Under Payton v.
text1_semantic_0012,text1,text1.md,12,semantic,29,20,"New York, 445 U.S. 573 (1980), the government needs an arrest warrant to enter a home to make an arrest."
